date,primaryTitle_x,budget,domestic_gross,world_gross,year,originalTitle,isAdult,startYear,runtimeMinutes,genres,averageRating,numVotes,primaryName,birthYear
1968-11-06,Shalako,"$1,455,000","$2,620,000","$2,620,000",1968,Shalako,0,1968,113,"Drama,Western",5.6,3557,Edward Dmytryk,1908
1971-05-21,Escape from the Planet of the Apes,"$2,500,000","$12,300,000","$12,300,000",1971,Escape from the Planet of the Apes,0,1971,98,"Action,Sci-Fi",6.3,42119,Don Taylor,1920
1973-06-15,Battle for the Planet of the Apes,"$1,800,000","$8,800,000","$8,800,000",1973,Battle for the Planet of the Apes,0,1973,93,"Action,Sci-Fi",5.4,35911,J. Lee Thompson,1914
1975-12-18,Barry Lyndon,"$11,000,000","$20,000,000","$20,221,274",1975,Barry Lyndon,0,1975,185,"Adventure,Drama,War",8.1,187337,Stanley Kubrick,1928
1976-06-23,Logan’s Run,"$7,000,000","$25,000,000","$25,000,076",1976,Logan's Run,0,1976,119,"Action,Adventure,Sci-Fi",6.8,62211,Michael Anderson,1920
1976-11-27,Network,"$3,800,000","$23,689,877","$23,698,846",1976,Network,0,1976,121,Drama,8.1,174053,Sidney Lumet,1924
1976-04-05,The Blue Bird,"$1,200,000","$887,000","$887,000",1976,The Blue Bird,0,1976,99,"Adventure,Drama,Family",5.4,1283,George Cukor,1899
1977-10-05,Kingdom of the Spiders,"$500,000","$17,000,000","$17,000,000",1977,Kingdom of the Spiders,0,1977,97,"Horror,Sci-Fi",5.7,6388,John 'Bud' Cardos,1929
1977-03-19,Eraserhead,"$100,000","$7,000,000","$7,097,971",1977,Eraserhead,0,1977,89,"Fantasy,Horror",7.3,130609,David Lynch,1946
1978-11-02,Caravans,"$14,000,000","$1,000,000","$1,000,000",1978,Caravans,0,1978,127,"Action,Adventure,History",5.9,1183,James Fargo,1938
1978-10-05,The Boys from Brazil,"$12,000,000","$19,000,000","$19,000,000",1978,The Boys from Brazil,0,1978,125,"Drama,Mystery,Sci-Fi",7.0,31407,Franklin J. Schaffner,1920
1978-02-15,Coming Home,"$3,000,000","$32,653,000","$32,653,000",1978,Coming Home,0,1978,127,"Drama,Romance,War",7.3,15145,Hal Ashby,1929
1978-04-16,Lion of the Desert,"$35,000,000","$1,500,000","$1,502,136",1978,Lion of the Desert,0,1980,173,"Biography,Drama,History",8.2,17770,Moustapha Akkad,1930
1978-10-03,Terror Train,"$3,500,000","$8,000,000","$8,000,000",1978,Terror Train,0,1980,97,"Horror,Mystery,Thriller",5.8,14249,Roger Spottiswoode,1945
1981-01-30,Maniac,"$350,000","$10,000,000","$10,000,000",1981,,0,2015,\N,"Action,Drama,Mystery",7.2,7,G.M. Whiting,2000
1981-04-17,Roar,"$17,000,000","$2,110,050","$2,110,453",1981,Roar,0,1981,95,"Adventure,Comedy,Thriller",6.1,4756,Noel Marshall,1931
1981-04-29,E tu vivrai nel terrore - L'aldilà,"$400,000","$126,387","$136,926",1981,,0,2015,\N,"Action,Drama,Mystery",7.2,7,G.M. Whiting,2000
1987-09-18,Maurice,"$2,600,000","$3,147,950","$3,305,831",1987,Maurice,0,1987,140,"Drama,Romance",7.6,24451,James Ivory,1928
1987-05-01,American Ninja 2: The Confrontation,"$350,000","$4,000,000","$4,000,000",1987,American Ninja 2: The Confrontation,0,1987,90,"Action,Comedy,Drama",4.9,9956,Sam Firstenberg,1950
1991-08-02,Return to the Blue Lagoon,"$11,000,000","$2,000,000","$2,000,000",1991,Return to the Blue Lagoon,0,1991,102,"Adventure,Drama,Romance",5.2,22022,William A. Graham,1926
1991-08-23,Showdown in Little Tokyo,"$8,000,000","$2,275,557","$2,275,557",1991,Showdown in Little Tokyo,0,1991,79,"Action,Comedy,Crime",6.1,21155,Mark L. Lester,\N
1991-08-21,Johnny Suede,"$500,000","$55,000","$55,000",1991,Johnny Suede,0,1991,97,"Comedy,Drama,Music",5.8,4517,Tom DiCillo,1953
1991-06-14,Straight out of Brooklyn,"$450,000","$2,712,293","$2,712,293",1991,Straight Out of Brooklyn,0,1991,91,"Crime,Drama",5.8,680,Matty Rich,\N
1993-11-24,The Nutcracker,"$19,000,000","$2,119,994","$2,119,994",1993,The Nutcracker,0,1993,92,"Family,Fantasy,Music",5.8,2474,Emile Ardolino,1943
1993-08-27,Only the Strong,"$6,000,000","$3,273,588","$3,273,588",1993,Only the Strong,0,1993,99,"Action,Drama",6.5,7088,Sheldon Lettich,1951
1993-10-29,Return of the Living Dead 3,"$2,000,000","$21,000","$21,000",1993,Return of the Living Dead III,0,1993,97,Horror,5.9,17230,Brian Yuzna,1949
1993-10-17,Ed and his Dead Mother,"$1,800,000",$673,$673,1993,Ed and His Dead Mother,0,1993,93,"Comedy,Horror",6.0,2464,Jonathan Wacks,\N
1969-04-01,Sweet Charity,"$20,000,000","$8,000,000","$8,000,000",1969,Sweet Charity,0,1969,149,"Comedy,Drama,Music",6.9,7049,Bob Fosse,1927
1975-04-01,Death Race 2000,"$300,000",$0,$0,1975,Death Race 2000,0,1975,80,"Action,Comedy,Sci-Fi",6.2,31709,Paul Bartel,1938
1986-04-01,My Beautiful Laundrette,"$400,000",$0,"$9,442",1986,My Beautiful Laundrette,0,1985,97,"Comedy,Drama,Romance",6.8,17642,Stephen Frears,1941
1988-04-01,"Bright Lights, Big City","$25,000,000","$16,118,077","$16,118,077",1988,"Bright Lights, Big City",0,1988,107,Drama,5.7,9162,James Bridges,1936
1988-04-01,Iguana,"$3,000,000",$0,$0,1988,Iguana,0,1988,88,"Adventure,Crime,Drama",6.1,562,Monte Hellman,1929
1996-04-01,Bang,"$10,000",$527,$527,1996,,0,2015,\N,"Action,Drama,Mystery",7.2,7,G.M. Whiting,2000
2005-04-01,Sin City,"$40,000,000","$74,103,820","$158,527,918",2005,Sin City,0,2005,124,"Crime,Thriller",8.0,800093,Frank Miller,1957
2005-04-01,Sin City,"$40,000,000","$74,103,820","$158,527,918",2005,Sin City,0,2005,124,"Crime,Thriller",8.0,800093,Quentin Tarantino,1963
2005-04-01,Sin City,"$40,000,000","$74,103,820","$158,527,918",2005,Sin City,0,2005,124,"Crime,Thriller",8.0,800093,Robert Rodriguez,1968
2010-04-01,Clash of the Titans,"$125,000,000.00","$163,214,888.00","$493,214,888.00",2010,Clash of the Titans,0,2010,106,"Action,Adventure,Fantasy",5.8,295600,Louis Leterrier,1973
2011-04-01,Hop,"$63,000,000","$108,085,305","$188,494,082",2011,Hop,0,2011,95,"Adventure,Animation,Comedy",5.4,37952,Tim Hill,1958
