Rank,date,primaryTitle_x,budget,domestic_gross,world_gross,year,name_id_x,matched_name,tconst,titleType,primaryTitle_y,originalTitle,isAdult,startYear,endYear,runtimeMinutes,genres,averageRating,numVotes,nconst,writers,primaryName,birthYear,deathYear,primaryProfession,knownForTitles,name_id_y
"5,802",1968-11-06,Shalako,"$1,455,000","$2,620,000","$2,620,000",1968,Shalako1968,Shalako1968,tt0063592,movie,Shalako,Shalako,0,1968,\N,113,"Drama,Western",5.6,3557,nm0229424,"nm0478263,nm0341526,nm0394404,nm0277451,nm0721655",Edward Dmytryk,1908,1999,"director,editor,editorial_department","tt0046816,tt0039286,tt0059448,tt0041416",Shalako1968
"3,950",1970-02-24,The Molly Maguires,"$11,000,000","$2,200,000","$2,200,000",1970,The Molly Maguires1970,The Molly Maguires1970,tt0066090,movie,The Molly Maguires,The Molly Maguires,0,1970,\N,124,"Drama,History",6.8,4420,nm0728688,"nm1054968,nm0077159",Martin Ritt,1914,1990,"director,producer,actor","tt0057163,tt0059749,tt0079638,tt0051878",The Molly Maguires1970
"5,468",1971-05-21,Escape from the Planet of the Apes,"$2,500,000","$12,300,000","$12,300,000",1971,Escape from the Planet of the Apes1971,Escape from the Planet of the Apes1971,tt0067065,movie,Escape from the Planet of the Apes,Escape from the Planet of the Apes,0,1971,\N,98,"Action,Sci-Fi",6.3,42119,nm0852279,"nm0214989,nm0099541",Don Taylor,1920,1998,"director,actor,writer","tt0046359,tt0080736,tt0067065,tt0076210",Escape from the Planet of the Apes1971
"5,694",1973-06-15,Battle for the Planet of the Apes,"$1,800,000","$8,800,000","$8,800,000",1973,Battle for the Planet of the Apes1973,Battle for the Planet of the Apes1973,tt0069768,movie,Battle for the Planet of the Apes,Battle for the Planet of the Apes,0,1973,\N,93,"Action,Sci-Fi",5.4,35911,nm0496746,"nm0099541,nm0214989,nm0181019,nm0181020",J. Lee Thompson,1914,2002,"director,writer,producer","tt0054953,tt0051204,tt0068408,tt0055824",Battle for the Planet of the Apes1973
"3,929",1975-12-18,Barry Lyndon,"$11,000,000","$20,000,000","$20,221,274",1975,Barry Lyndon1975,Barry Lyndon1975,tt0072684,movie,Barry Lyndon,Barry Lyndon,0,1975,\N,185,"Adventure,Drama,War",8.1,187337,nm0000040,"nm0000040,nm0856842",Stanley Kubrick,1928,1999,"director,writer,producer","tt0062622,tt0066921,tt0072684,tt0093058",Barry Lyndon1975
"4,526",1976-06-23,Logan’s Run,"$7,000,000","$25,000,000","$25,000,076",1976,Logan’s Run1976,Logan's Run1976,tt0074812,movie,Logan's Run,Logan's Run,0,1976,\N,119,"Action,Adventure,Sci-Fi",6.8,62211,nm0027183,"nm0329051,nm0634368,nm0425138",Michael Anderson,1920,2018,"director,assistant_director,actor","tt0074812,tt0048960,tt0128648,tt0053455",Logan's Run1976
"5,183",1976-11-27,Network,"$3,800,000","$23,689,877","$23,698,846",1976,Network1976,Network1976,tt0074958,movie,Network,Network,0,1976,\N,121,Drama,8.1,174053,nm0001486,nm0154665,Sidney Lumet,1924,2011,"director,writer,producer","tt0050083,tt0292963,tt0071877,tt0072890",Network1976
"5,861",1976-04-05,The Blue Bird,"$1,200,000","$887,000","$887,000",1976,The Blue Bird1976,The Blue Bird1976,tt0074225,movie,The Blue Bird,The Blue Bird,0,1976,\N,99,"Adventure,Drama,Family",5.4,1283,nm0002030,"nm0535508,nm0925849,nm0370883,nm0438412",George Cukor,1899,1983,"director,miscellaneous,assistant_director","tt0058385,tt0036855,tt0032904,tt0050631",The Blue Bird1976
"6,150",1977-10-05,Kingdom of the Spiders,"$500,000","$17,000,000","$17,000,000",1977,Kingdom of the Spiders1977,Kingdom of the Spiders1977,tt0076271,movie,Kingdom of the Spiders,Kingdom of the Spiders,0,1977,\N,97,"Horror,Sci-Fi",5.7,6388,nm0004616,"nm0733015,nm0128845,nm0811072,nm0517119",John 'Bud' Cardos,1929,2020,"actor,stunts,transportation_department","tt0209144,tt0076271,tt0193288,tt0274812",Kingdom of the Spiders1977
"6,426",1977-03-19,Eraserhead,"$100,000","$7,000,000","$7,097,971",1977,Eraserhead1977,Eraserhead1977,tt0074486,movie,Eraserhead,Eraserhead,0,1977,\N,89,"Fantasy,Horror",7.3,130609,nm0000186,nm0000186,David Lynch,1946,\N,"writer,director,producer","tt0098936,tt0460829,tt0105665,tt0166924",Eraserhead1977
"3,633",1978-11-02,Caravans,"$14,000,000","$1,000,000","$1,000,000",1978,Caravans1978,Caravans1978,tt0077296,movie,Caravans,Caravans,0,1978,\N,127,"Action,Adventure,History",5.9,1183,nm0267309,"nm0585151,nm0186909,nm0573087,nm0931190,nm0679717",James Fargo,1938,\N,"director,assistant_director,producer","tt0077523,tt0074483,tt0073195,tt0075029",Caravans1978
"3,814",1978-10-05,The Boys from Brazil,"$12,000,000","$19,000,000","$19,000,000",1978,The Boys from Brazil1978,The Boys from Brazil1978,tt0077269,movie,The Boys from Brazil,The Boys from Brazil,0,1978,\N,125,"Drama,Mystery,Sci-Fi",7.0,31407,nm0769874,"nm0505615,nm0332392",Franklin J. Schaffner,1920,1989,"director,producer,actor","tt0066206,tt0063442,tt0077269,tt0047731",The Boys from Brazil1978
"5,297",1978-02-15,Coming Home,"$3,000,000","$32,653,000","$32,653,000",1978,Coming Home1978,Coming Home1978,tt0077362,movie,Coming Home,Coming Home,0,1978,\N,127,"Drama,Romance,War",7.3,15145,nm0000797,"nm0759029,nm0002717,nm0235683,nm0943382",Hal Ashby,1929,1988,"director,editorial_department,actor","tt0061811,tt0067185,tt0078841,tt0070290",Coming Home1978
"2,002",1978-04-16,Lion of the Desert,"$35,000,000","$1,500,000","$1,502,136",1978,Lion of the Desert1978,Lion of the Desert1980,tt0081059,movie,Lion of the Desert,Lion of the Desert,0,1980,\N,173,"Biography,Drama,History",8.2,17770,nm0002160,"nm0185867,nm0124878,nm1722111",Moustapha Akkad,1930,2005,"producer,miscellaneous,director","tt0074896,tt0075143,tt0095271,tt0085636",Lion of the Desert1980
"5,223",1978-10-03,Terror Train,"$3,500,000","$8,000,000","$8,000,000",1978,Terror Train1978,Terror Train1980,tt0081617,movie,Terror Train,Terror Train,0,1980,\N,97,"Horror,Mystery,Thriller",5.8,14249,nm0006854,"nm0237021,nm0342841,nm0711083",Roger Spottiswoode,1945,\N,"director,producer,editorial_department","tt0083511,tt0216216,tt0096098,tt0472562",Terror Train1980
