date,Movie,budget,domestic_revenue,world_revenue,year,originalTitle,isAdult,startYear,runtimeMinutes,genres,averageRating,numVotes
1968-11-06,Shalako,1455000.0,2620000.0,2620000.0,1968,Shalako,0,1968,113,Drama,5.6,3557
1968-11-06,Shalako,1455000.0,2620000.0,2620000.0,1968,Shalako,0,1968,113,Western,5.6,3557
1971-05-21,Escape from the Planet of the Apes,2500000.0,12300000.0,12300000.0,1971,Escape from the Planet of the Apes,0,1971,98,Action,6.3,42119
1971-05-21,Escape from the Planet of the Apes,2500000.0,12300000.0,12300000.0,1971,Escape from the Planet of the Apes,0,1971,98,Sci-Fi,6.3,42119
1973-06-15,Battle for the Planet of the Apes,1800000.0,8800000.0,8800000.0,1973,Battle for the Planet of the Apes,0,1973,93,Action,5.4,35911
1973-06-15,Battle for the Planet of the Apes,1800000.0,8800000.0,8800000.0,1973,Battle for the Planet of the Apes,0,1973,93,Sci-Fi,5.4,35911
1975-12-18,Barry Lyndon,11000000.0,20000000.0,20221274.0,1975,Barry Lyndon,0,1975,185,Adventure,8.1,187337
1975-12-18,Barry Lyndon,11000000.0,20000000.0,20221274.0,1975,Barry Lyndon,0,1975,185,Drama,8.1,187337
1975-12-18,Barry Lyndon,11000000.0,20000000.0,20221274.0,1975,Barry Lyndon,0,1975,185,War,8.1,187337
1976-06-23,Logan’s Run,7000000.0,25000000.0,25000076.0,1976,Logan's Run,0,1976,119,Action,6.8,62211
1976-06-23,Logan’s Run,7000000.0,25000000.0,25000076.0,1976,Logan's Run,0,1976,119,Adventure,6.8,62211
1976-06-23,Logan’s Run,7000000.0,25000000.0,25000076.0,1976,Logan's Run,0,1976,119,Sci-Fi,6.8,62211
1976-11-27,Network,3800000.0,23689877.0,23698846.0,1976,Network,0,1976,121,Drama,8.1,174053
1976-04-05,The Blue Bird,1200000.0,887000.0,887000.0,1976,The Blue Bird,0,1976,99,Adventure,5.4,1283
1976-04-05,The Blue Bird,1200000.0,887000.0,887000.0,1976,The Blue Bird,0,1976,99,Drama,5.4,1283
1976-04-05,The Blue Bird,1200000.0,887000.0,887000.0,1976,The Blue Bird,0,1976,99,Family,5.4,1283
1977-10-05,Kingdom of the Spiders,500000.0,17000000.0,17000000.0,1977,Kingdom of the Spiders,0,1977,97,Horror,5.7,6388
1977-10-05,Kingdom of the Spiders,500000.0,17000000.0,17000000.0,1977,Kingdom of the Spiders,0,1977,97,Sci-Fi,5.7,6388
1977-03-19,Eraserhead,100000.0,7000000.0,7097971.0,1977,Eraserhead,0,1977,89,Fantasy,7.3,130609
1977-03-19,Eraserhead,100000.0,7000000.0,7097971.0,1977,Eraserhead,0,1977,89,Horror,7.3,130609
1978-11-02,Caravans,14000000.0,1000000.0,1000000.0,1978,Caravans,0,1978,127,Action,5.9,1183
1978-11-02,Caravans,14000000.0,1000000.0,1000000.0,1978,Caravans,0,1978,127,Adventure,5.9,1183
1978-11-02,Caravans,14000000.0,1000000.0,1000000.0,1978,Caravans,0,1978,127,History,5.9,1183
1978-10-05,The Boys from Brazil,12000000.0,19000000.0,19000000.0,1978,The Boys from Brazil,0,1978,125,Drama,7.0,31407
1978-10-05,The Boys from Brazil,12000000.0,19000000.0,19000000.0,1978,The Boys from Brazil,0,1978,125,Mystery,7.0,31407
1978-10-05,The Boys from Brazil,12000000.0,19000000.0,19000000.0,1978,The Boys from Brazil,0,1978,125,Sci-Fi,7.0,31407
1978-02-15,Coming Home,3000000.0,32653000.0,32653000.0,1978,Coming Home,0,1978,127,Drama,7.3,15145
1978-02-15,Coming Home,3000000.0,32653000.0,32653000.0,1978,Coming Home,0,1978,127,Romance,7.3,15145
1978-02-15,Coming Home,3000000.0,32653000.0,32653000.0,1978,Coming Home,0,1978,127,War,7.3,15145
1978-04-16,Lion of the Desert,35000000.0,1500000.0,1502136.0,1978,Lion of the Desert,0,1980,173,Biography,8.2,17770
1978-04-16,Lion of the Desert,35000000.0,1500000.0,1502136.0,1978,Lion of the Desert,0,1980,173,Drama,8.2,17770
1978-04-16,Lion of the Desert,35000000.0,1500000.0,1502136.0,1978,Lion of the Desert,0,1980,173,History,8.2,17770
1978-10-03,Terror Train,3500000.0,8000000.0,8000000.0,1978,Terror Train,0,1980,97,Horror,5.8,14249
1978-10-03,Terror Train,3500000.0,8000000.0,8000000.0,1978,Terror Train,0,1980,97,Mystery,5.8,14249
1978-10-03,Terror Train,3500000.0,8000000.0,8000000.0,1978,Terror Train,0,1980,97,Thriller,5.8,14249
1981-01-30,Maniac,350000.0,10000000.0,10000000.0,1981,,0,2015,\N,Action,7.2,7
1981-01-30,Maniac,350000.0,10000000.0,10000000.0,1981,,0,2015,\N,Drama,7.2,7
1981-01-30,Maniac,350000.0,10000000.0,10000000.0,1981,,0,2015,\N,Mystery,7.2,7
1981-04-17,Roar,17000000.0,2110050.0,2110453.0,1981,Roar,0,1981,95,Adventure,6.1,4756
1981-04-17,Roar,17000000.0,2110050.0,2110453.0,1981,Roar,0,1981,95,Comedy,6.1,4756
1981-04-17,Roar,17000000.0,2110050.0,2110453.0,1981,Roar,0,1981,95,Thriller,6.1,4756
1981-04-29,E tu vivrai nel terrore - L'aldilà,400000.0,126387.0,136926.0,1981,,0,2015,\N,Action,7.2,7
1981-04-29,E tu vivrai nel terrore - L'aldilà,400000.0,126387.0,136926.0,1981,,0,2015,\N,Drama,7.2,7
1981-04-29,E tu vivrai nel terrore - L'aldilà,400000.0,126387.0,136926.0,1981,,0,2015,\N,Mystery,7.2,7
1987-09-18,Maurice,2600000.0,3147950.0,3305831.0,1987,Maurice,0,1987,140,Drama,7.6,24451
1987-09-18,Maurice,2600000.0,3147950.0,3305831.0,1987,Maurice,0,1987,140,Romance,7.6,24451
1987-05-01,American Ninja 2: The Confrontation,350000.0,4000000.0,4000000.0,1987,American Ninja 2: The Confrontation,0,1987,90,Action,4.9,9956
1987-05-01,American Ninja 2: The Confrontation,350000.0,4000000.0,4000000.0,1987,American Ninja 2: The Confrontation,0,1987,90,Comedy,4.9,9956
