genres,averageRating,budget,runtimeMinutes,world_revenue
Action,6.616695576756288,51474052.97528187,112.79802259887006,150840334.43191674
Adult,5.0,25000.0,61.0,45000000.0
Adventure,6.312380038387716,76991535.50863723,112.8915547024952,238019706.0815739
Animation,6.355862068965517,78837586.20689656,92.42068965517241,251615692.75172412
Biography,7.025485436893204,26029890.25,123.0995145631068,61297911.08495145
Comedy,6.1843619246861925,30657284.974372383,102.26178010471205,84870433.70606695
Crime,6.4438485804416406,30664231.27024185,109.94,69440480.58359621
Documentary,7.086915887850467,7422206.373831776,97.97115384615384,26325762.514018692
Drama,6.790943396226416,26537989.166576818,114.2850550230742,73282869.45902964
Family,6.057188498402557,48148492.012779556,104.91373801916933,145371390.7252396
Fantasy,6.136867469879519,61206727.89638554,109.56763285024155,192791545.34457833
Film-Noir,7.585714285714286,1258571.4285714286,102.57142857142857,7716911.0
History,6.954404145077721,32400134.715025906,131.09375,61777568.3626943
Horror,5.829471890971039,19585683.134582624,99.0,67949279.73594548
Music,6.414835164835165,16782988.175824177,109.83516483516483,54597543.20879121
Musical,6.382089552238806,28100119.402985074,118.24242424242425,100047377.0
Mystery,6.846348314606742,27703153.95014045,106.99439252336448,90189361.56671348
News,7.6000000000000005,1500000.0,90.0,1815414.6666666667
Romance,6.360840707964601,22427369.605088495,109.49612403100775,62529792.326327436
Sci-Fi,6.269575471698114,69333779.3726415,111.04481132075472,202275275.91509435
Sport,6.578947368421052,25646616.541353382,113.18796992481202,47626079.518796995
Thriller,6.296352201257862,35472317.689308174,108.05934343434343,106154374.281761
War,7.036842105263158,21552491.228070177,129.39473684210526,48480759.46491228
Western,6.748837209302326,18487297.279069766,119.23255813953489,44211888.511627905
\N,5.449999999999999,20000000.0,141.0,4498732.5
