Rank,date,primaryTitle,budget,domestic_gross,world_gross
"5,802","Nov 6, 1968",Shalako,"$1,455,000","$2,620,000","$2,620,000"
"3,950","Feb 24, 1970",The Molly Maguires,"$11,000,000","$2,200,000","$2,200,000"
"5,468","May 21, 1971",Escape from the Planet of the Apes,"$2,500,000","$12,300,000","$12,300,000"
"5,694","Jun 15, 1973",Battle for the Planet of the Apes,"$1,800,000","$8,800,000","$8,800,000"
"3,929","Dec 18, 1975",Barry Lyndon,"$11,000,000","$20,000,000","$20,221,274"
"4,526","Jun 23, 1976",Logan’s Run,"$7,000,000","$25,000,000","$25,000,076"
"5,183","Nov 27, 1976",Network,"$3,800,000","$23,689,877","$23,698,846"
"5,861","Apr 5, 1976",The Blue Bird,"$1,200,000","$887,000","$887,000"
"6,150","Oct 5, 1977",Kingdom of the Spiders,"$500,000","$17,000,000","$17,000,000"
"6,426","Mar 19, 1977",Eraserhead,"$100,000","$7,000,000","$7,097,971"
"3,633","Nov 2, 1978",Caravans,"$14,000,000","$1,000,000","$1,000,000"
"3,814","Oct 5, 1978",The Boys from Brazil,"$12,000,000","$19,000,000","$19,000,000"
"5,297","Feb 15, 1978",Coming Home,"$3,000,000","$32,653,000","$32,653,000"
"2,002","Apr 16, 1978",Lion of the Desert,"$35,000,000","$1,500,000","$1,502,136"
"5,223","Oct 3, 1978",Terror Train,"$3,500,000","$8,000,000","$8,000,000"
"6,257","Jan 30, 1981",Maniac,"$350,000","$10,000,000","$10,000,000"
"3,275","Apr 17, 1981",Roar,"$17,000,000","$2,110,050","$2,110,453"
"6,240","Apr 29, 1981",E tu vivrai nel terrore - L'aldilà,"$400,000","$126,387","$136,926"
"5,451","Sep 18, 1987",Maurice,"$2,600,000","$3,147,950","$3,305,831"
"6,258","May 1, 1987",American Ninja 2: The Confrontation,"$350,000","$4,000,000","$4,000,000"
"3,951","Aug 2, 1991",Return to the Blue Lagoon,"$11,000,000","$2,000,000","$2,000,000"
"4,416","Aug 23, 1991",Showdown in Little Tokyo,"$8,000,000","$2,275,557","$2,275,557"
"6,176","Aug 21, 1991",Johnny Suede,"$500,000","$55,000","$55,000"
"6,216","Jun 14, 1991",Straight out of Brooklyn,"$450,000","$2,712,293","$2,712,293"
"3,105","Nov 24, 1993",The Nutcracker,"$19,000,000","$2,119,994","$2,119,994"
"4,715","Aug 27, 1993",Only the Strong,"$6,000,000","$3,273,588","$3,273,588"
"5,633","Oct 29, 1993",Return of the Living Dead 3,"$2,000,000","$21,000","$21,000"
"5,702","Oct 17, 1993",Ed and his Dead Mother,"$1,800,000",$673,$673
"3,003","Apr 1, 1969",Sweet Charity,"$20,000,000","$8,000,000","$8,000,000"
"6,292","Apr 1, 1975",Death Race 2000,"$300,000",$0,$0
"6,248","Apr 1, 1986",My Beautiful Laundrette,"$400,000",$0,"$9,442"
"2,565","Apr 1, 1988","Bright Lights, Big City","$25,000,000","$16,118,077","$16,118,077"
"5,409","Apr 1, 1988",Iguana,"$3,000,000",$0,$0
"6,529","Apr 1, 1996",Bang,"$10,000",$527,$527
"1,629","Apr 1, 2005",Sin City,"$40,000,000","$74,103,820","$158,527,918"
348,"Apr 1, 2010",Clash of the Titans,"$125,000,000.00","$163,214,888.00","$493,214,888.00"
996,"Apr 1, 2011",Hop,"$63,000,000","$108,085,305","$188,494,082"
"2,054","Apr 1, 2011",Source Code,"$32,000,000","$54,712,227","$140,428,499"
"3,654","Apr 1, 2011",The Last Godfather,"$13,400,000","$164,247","$164,247"
"4,791","Apr 1, 2011",Haevnen,"$5,500,000","$1,008,098","$15,867,314"
"5,148","Apr 1, 2011",Trust,"$4,000,000","$120,016","$120,016"
"5,457","Apr 1, 2011","Fat, Sick & Nearly Dead","$2,600,000",$0,$0
"5,484","Apr 1, 2011",Super,"$2,500,000","$327,716","$593,933"
"5,744","Apr 1, 2011",Insidious,"$1,500,000","$54,009,150","$99,870,886"
"6,175","Apr 1, 2011",Rubber,"$500,000","$100,370","$680,914"
109,"Apr 1, 2015",Furious 7,"$190,000,000.00","$353,007,020.00","$1,511,986,364.00"
"3,921","Apr 1, 2015",Woman in Gold,"$11,000,000","$33,307,793","$58,586,407"
"4,854","Apr 1, 2016",God’s Not Dead 2,"$5,000,000","$20,773,069","$23,551,286"
"5,473","Apr 1, 2016",Hunt for the Wilderpeople,"$2,500,000","$5,205,471","$23,900,842"
"6,044","Apr 1, 2016",Meet the Blacks,"$900,000","$9,097,072","$9,097,072"
"2,219","Apr 1, 2022",The Unbearable Weight of Massive Talent,"$30,000,000","$20,300,157","$29,116,320"
"5,458","Apr 10, 1952",Singin' in the Rain,"$2,540,000","$7,200,000","$7,241,009"
"6,110","Apr 10, 1953",House of Wax,"$658,000","$23,800,000","$23,800,000"
"4,871","Apr 10, 1981",Nighthawks,"$5,000,000","$14,600,000","$19,600,000"
"5,912","Apr 10, 1981",The Howling,"$1,000,000","$17,985,000","$17,985,130"
"4,387","Apr 10, 1992",The Player,"$8,000,000","$21,706,101","$28,876,702"
"1,184","Apr 10, 1998",City of Angels,"$55,000,000","$78,750,909","$198,750,909"
