budget,domestic_revenue,world_revenue,year,runtimeMinutes,averageRating,numVotes
1455000.0,2620000.0,2620000.0,1968,113.0,5.6,3557
2500000.0,12300000.0,12300000.0,1971,98.0,6.3,42119
1800000.0,8800000.0,8800000.0,1973,93.0,5.4,35911
11000000.0,20000000.0,20221274.0,1975,185.0,8.1,187337
7000000.0,25000000.0,25000076.0,1976,119.0,6.8,62211
3800000.0,23689877.0,23698846.0,1976,121.0,8.1,174053
1200000.0,887000.0,887000.0,1976,99.0,5.4,1283
500000.0,17000000.0,17000000.0,1977,97.0,5.7,6388
100000.0,7000000.0,7097971.0,1977,89.0,7.3,130609
14000000.0,1000000.0,1000000.0,1978,127.0,5.9,1183
12000000.0,19000000.0,19000000.0,1978,125.0,7.0,31407
3000000.0,32653000.0,32653000.0,1978,127.0,7.3,15145
35000000.0,1500000.0,1502136.0,1978,173.0,8.2,17770
3500000.0,8000000.0,8000000.0,1978,97.0,5.8,14249
350000.0,10000000.0,10000000.0,1981,106.0,7.2,7
17000000.0,2110050.0,2110453.0,1981,95.0,6.1,4756
400000.0,126387.0,136926.0,1981,106.0,7.2,7
2600000.0,3147950.0,3305831.0,1987,140.0,7.6,24451
350000.0,4000000.0,4000000.0,1987,90.0,4.9,9956
11000000.0,2000000.0,2000000.0,1991,102.0,5.2,22022
8000000.0,2275557.0,2275557.0,1991,79.0,6.1,21155
500000.0,55000.0,55000.0,1991,97.0,5.8,4517
450000.0,2712293.0,2712293.0,1991,91.0,5.8,680
19000000.0,2119994.0,2119994.0,1993,92.0,5.8,2474
6000000.0,3273588.0,3273588.0,1993,99.0,6.5,7088
2000000.0,21000.0,21000.0,1993,97.0,5.9,17230
1800000.0,673.0,673.0,1993,93.0,6.0,2464
20000000.0,8000000.0,8000000.0,1969,149.0,6.9,7049
400000.0,0.0,9442.0,1986,97.0,6.8,17642
25000000.0,16118077.0,16118077.0,1988,107.0,5.7,9162
10000.0,527.0,527.0,1996,106.0,7.2,7
40000000.0,74103820.0,158527918.0,2005,106.0,7.2,7
125000000.0,163214888.0,493214888.0,2010,106.0,5.8,295600
63000000.0,108085305.0,188494082.0,2011,95.0,5.4,37952
32000000.0,54712227.0,140428499.0,2011,93.0,7.5,559321
13400000.0,164247.0,164247.0,2011,100.0,3.5,1334
5500000.0,1008098.0,15867314.0,2011,106.0,7.2,7
4000000.0,120016.0,120016.0,2011,109.0,6.0,488
2500000.0,327716.0,593933.0,2011,106.0,7.2,7
1500000.0,54009150.0,99870886.0,2011,103.0,6.8,346245
500000.0,100370.0,680914.0,2011,106.0,7.2,7
190000000.0,353007020.0,1511986364.0,2015,137.0,7.1,420506
11000000.0,33307793.0,58586407.0,2015,109.0,7.3,64172
5000000.0,20773069.0,23551286.0,2016,120.0,4.3,13744
2500000.0,5205471.0,23900842.0,2016,101.0,7.8,145278
900000.0,9097072.0,9097072.0,2016,94.0,4.8,38074
30000000.0,20300157.0,29116320.0,2022,107.0,7.0,161300
2540000.0,7200000.0,7241009.0,1952,106.0,7.2,7
658000.0,23800000.0,23800000.0,1953,88.0,7.0,20811
5000000.0,14600000.0,19600000.0,1981,113.0,6.2,747
1000000.0,17985000.0,17985130.0,1981,91.0,6.5,41184
8000000.0,21706101.0,28876702.0,1992,124.0,7.5,67061
55000000.0,78750909.0,198750909.0,1998,114.0,6.7,129559
30000000.0,79576189.0,169173206.0,2009,102.0,4.7,46490
30000000.0,9362785.0,56511457.0,2009,85.0,2.5,80286
18000000.0,24007324.0,27148898.0,2009,86.0,5.8,65857
1000000.0,486919.0,1227316.0,2013,106.0,8.0,15
42000000.0,0.0,15451663.0,2015,106.0,7.2,7
40000000.0,0.0,734423.0,2015,88.0,6.3,3423
38000000.0,71091594.0,107453907.0,2015,94.0,4.4,41968
15000000.0,0.0,3471.0,2015,101.0,5.7,2358
11900000.0,208588.0,5685597.0,2015,113.0,6.2,48438
1000000.0,6870.0,6870.0,2015,104.0,6.1,2273
50000000.0,21903748.0,53956480.0,2019,120.0,5.3,102408
45000000.0,65598907.0,136998907.0,1997,89.0,4.9,114273
15000000.0,28084357.0,31070412.0,1997,107.0,7.3,101182
